CUST_ID,name,GENDER_CD,EDUCATION_CD,SUBS_TENURE,TOT_OB_CALL_INTL_ROAM_CNT,TOT_DAY_LAST_COMPLAINT_CNT,TOT_DAY_LAST_SUSPENDED_CNT,MTH_TO_SUBS_END_CNT,TOT_SRV_DROPPED_CNT,TOT_SRV_ADDED_CNT,BARRING_REASON_CD,REV_AMT_BASE_1,REV_AMT_BASE_2,CUST_AGE,PCT_CHNG_IB_SMS_CNT,CHURN_FLG,SET
5218,Christine B Goodman,F, .,96,2.967049138,14,2,3,1,1,3,826,1007,52,0.59139785,0,serve5
3175,Jhon A Cooke,F, .,66,2.523107733,5,15,2,1,0,3,874,1077,42,1.261744966,0,serve5
4963,Bonnie S Gonsalves,F, .,90,0.434847324,7,13,2,2,2,3,205,678,52,0.640625,0,serve5
3042,Mary Q Ricardo,F, .,174,0.080369964,2,8,4,2,2,0,690,596,58,1.087557604,0,serve5
3152,Marilyn A Hodges,F, .,120,7.204983176,13,4,4,1,2,3,659,1126,38,1.237623762,0,serve5
70,Rhonda X Norton,F, .,132,0.035556583,9,10,3,1,2,1,1015,627,49,1.934782609,0,serve5
7273,Amy C Jhonson,F, .,126,0.319141452,13,4,2,0,1,2,789,635,38,2.568965517,0,serve5
3452,Gregory X Grant,F, .,144,0.680013582,1,13,2,1,2,2,404,1021,37,1.759036145,0,serve5
5446,Nicholas D Atkins,F, .,132,0.720716909,11,19,4,2,0,3,712,944,60,2.035294118,0,serve5
4521,Goldie W Murray,F, .,144,9.026300618,1,22,3,0,1,0,908,540,46,1.550802139,0,serve5
1799,Glorin B Shaw,F, .,132,4.09970151,19,22,4,2,0,0,827,1349,34,1.202247191,0,serve5
1262,Jeanine T Botham,F, .,96,0.699679894,8,2,2,0,3,0,390,1169,57,1.738461539,0,serve5
4885,Clara K Eastwood,F, .,108,0.185498914,16,17,2,2,2,3,565,301,50,0.898148148,0,serve5
6577,Paul I D'mello,F, .,156,0.382707632,4,3,4,1,1,3,1105,222,51,0.74611399,0,serve5
5123,Bill K Crowe,F, .,126,0.645912573,20,34,4,2,2,2,738,1043,55,0.647773279,0,serve5
6835,Cathy L D'mello,F, .,102,0.061884491,27,25,2,1,2,3,216,547,27,0.752,0,serve5
7739,Jhon B Hartley,F, .,114,0.237950919,20,4,2,1,0,1,285,686,44,1.109589041,0,serve5
6790,Debra F Spencer,F,1,72,0.01839179,5,7,1,1,1,0,218,1368,32,0.682926829,0,serve5
261,Cathy   Lara,M,2,162,0.093428215,14,4,1,0,3,2,715,1137,37,0.957345972,0,serve5
4574,Larry Q Cooke,F,1,114,1.38349062,11,1,3,0,2,3,881,257,37,1.068965517,0,serve5
1453,Amy J Welsh,M,2,156,0.605784281,18,2,3,1,0,2,391,825,56,0.757446809,0,serve5
5272,Amy N Whitehall,M,2,114,0.606180702,9,11,4,2,3,0,947,1230,48,1.547169811,0,serve5
1474,Clara V Lyod,M,2,186,0.191530839,20,16,3,1,1,0,820,857,57,1.768115942,0,serve5
7705,Ian V Cook,M,2,60,0.560244241,16,13,3,0,2,3,590,1280,52,1.411111111,0,serve5
1885,Bernard H Morton,M, .,120,0.361248503,2,4,2,2,2,3,903,1393,55,1.169230769,0,serve5
740,Goldie V Gibson,F,2,90,0.688701848,1,16,3,1,2,0,956,916,54,1.430167598,0,serve5
5973,Goldie C Pearson,M,1,120,1.761622094,22,6,3,1,2,1,923,842,28,0.896226415,0,serve5
4898,Jeremy F Wingard,M,1,144,0.333446957,9,21,3,1,2,2,521,554,45,1.782312925,0,serve5
1022,Dean O Wood,F, .,132,0.01297508,4,19,2,1,1,0,342,448,56,0.87254902,0,serve5
3208,Carl R Robinson,F, .,126,0.45497162,14,23,3,1,1,3,361,560,54,1.342465753,0,serve5
2289,Steve B Spence,F, .,90,2.397243221,19,6,4,0,1,3,384,555,26,1.072340426,0,serve5
6192,Desmond S Muldowney,F, .,102,0.046849832,22,17,2,0,3,3,1102,1395,48,0.924731183,0,serve5
